name,manufacturer,year,age,kilometerage,engine,transmission,price
Volkswagen Golf,VOLKSWAGEN,2010,15,107420.22632,Petrol,Manual,1700
Ford Ka,FORD,2010,15,107420.22632,Petrol,Manual,1700
Volvo Xc90,VOLVO,2010,15,107420.22632,Petrol,Manual,1700
Hyundai I10,HYUNDAI,2010,15,107420.22632,Petrol,Manual,1700
Kia Picanto,KIA,2010,15,107420.22632,Petrol,Manual,1700
Citroen C1,CITROEN,2009,16,87467.629,Diesel,Manual,1700
Hyundai I10,HYUNDAI,2009,16,87467.629,Diesel,Manual,1700
Vauxhall Meriva,VAUXHALL,2009,16,87467.629,Diesel,Manual,1740
Volkswagen Golf,VOLKSWAGEN,2009,16,87467.629,Diesel,Manual,1740
Mazda Mazda 6,MAZDA,2009,16,87467.629,Diesel,Manual,1745
Fiat 500,FIAT,2009,16,87467.629,Diesel,Manual,1745
Vauxhall Insignia,VAUXHALL,2009,16,87467.629,Diesel,Manual,1745
Hyundai I10,HYUNDAI,2009,16,87467.629,Diesel,Manual,1747
Nissan Micra,NISSAN,2009,16,87467.629,Diesel,Manual,1747
Audi A4,AUDI,2009,16,87467.629,Diesel,Manual,1747
Mazda Mazda 6,MAZDA,2009,16,87467.629,Diesel,Manual,1749
Citroen Ds3,CITROEN,2009,16,87467.629,Diesel,Manual,1750
Ford Fiesta,FORD,2009,16,87467.629,Diesel,Manual,1750
Hyundai I10,HYUNDAI,2009,16,87467.629,Diesel,Manual,1750
Peugeot 207,PEUGEOT,2009,16,87467.629,Diesel,Manual,1750
Vauxhall Vivaro,VAUXHALL,2009,16,110883.526,Petrol,Manual,1750
Mini Hatch,MINI,2009,16,110883.526,Petrol,Manual,1750
Ford Focus,FORD,2009,16,110883.526,Petrol,Manual,1750
Citroen C1,CITROEN,2009,16,110883.526,Petrol,Manual,1750
Mini Clubman,MINI,2009,16,110883.526,Petrol,Manual,1750
Vauxhall Corsa,VAUXHALL,2009,16,110883.526,Petrol,Manual,1750
